Value 1,Value 2,Value 3,Value 4
-3992,2598,8388607,-232223
-2608,2529,8388607,-231982
-594,2172,8388607,-232321
1519,1803,8388607,-232540
3416,1428,8388607,-232612
5053,884,8388607,-232724
6348,254,8388607,-232870
7063,-257,8388607,-233065
7202,-644,8388607,-233173
7039,-920,8388607,-232934
6299,-1046,8388607,-233031
4844,-954,8388607,-232991
2834,-643,8388607,-232884
703,-207,8388607,-232834
-1179,311,8388607,-232774
-2835,893,8388607,-232620
-4167,1453,8388607,-232534
-4915,1928,8388607,-232434
-5041,2258,8388607,-232181
-4818,2524,8388607,-231856
-4038,2696,8388607,-231862
-2675,2653,8388607,-232064
-625,2307,8388607,-232282
1500,1883,8388607,-232272
3386,1384,8388607,-232114
5149,926,8388607,-231902
6457,385,8388607,-231954
7118,-145,8388607,-232005
7219,-539,8388607,-232278
6973,-862,8388607,-232301
6164,-1071,8388607,-232414
4718,-1159,8388607,-232366
2779,-876,8388607,-232384
696,-380,8388607,-232106
-1138,121,8388607,-232157
-2828,707,8388607,-232296
-4294,1353,8388607,-232523
-5146,1876,8388607,-232134
-5350,2159,8388607,-231652
-5236,2321,8388607,-231459
-4595,2419,8388607,-231468
-3348,2297,8388607,-231441
-1437,1981,8388607,-231644
682,1563,8388607,-231713
2504,1099,8388607,-231900
4149,593,8388607,-232050
5516,41,8388607,-232325
6316,-410,8388607,-232458
6449,-783,8388607,-232695
6284,-1078,8388607,-232842
5755,-1270,8388607,-233063
4483,-1296,8388607,-232974
2481,-1114,8388607,-232997
478,-807,8388607,-232839
-1170,-374,8388607,-232592
-2507,188,8388607,-232202
-3536,656,8388607,-231949
-3986,927,8388607,-231637
-3779,1071,8388607,-231569
-3037,1048,8388607,-231468
-1719,981,8388607,-231423
525,602,8388607,-231064
3652,-21,8388607,-230966
6876,-937,8388607,-231121
9720,-1822,8388607,-231299
12468,-2792,8388607,-231256
14786,-3952,8388607,-231269
16233,-4854,8388607,-231411
16813,-5445,8388607,-231489
17176,-5889,8388607,-231515
17458,-6547,8388607,-231754
17234,-6884,8388607,-231716
16371,-6858,8388607,-231644
15059,-6424,8388607,-231707
13733,-5718,8388607,-231912
12940,-4671,8388607,-231835
12415,-3456,8388607,-231930
10567,-2302,8388607,-231890
8349,-1362,8388607,-231895
6650,-552,8388607,-231863
5590,139,8388607,-231896
5703,509,8388607,-231666
6554,449,8388607,-231728
7217,389,8388607,-231644
7549,488,8388607,-231802
7738,681,8388607,-231842
7786,725,8388607,-232261
7541,761,8388607,-232706
6643,974,8388607,-233046
5399,1208,8388607,-233072
3963,1413,8388607,-233407
2061,1812,8388607,-233806
-511,2563,8388607,-233892
-3222,3314,8388607,-233701
-5389,3764,8388607,-233724
-7004,4014,8388607,-233584
-8159,4283,8388607,-233384
-8732,4523,8388607,-233251
-8668,4766,8388607,-233089
-8019,4754,8388607,-232984
-6921,4689,8388607,-232812
-5311,4438,8388607,-232525
-3139,3969,8388607,-232331
-810,3319,8388607,-232356
1243,2762,8388607,-232749
3278,2121,8388607,-232569
5038,1363,8388607,-232635
6187,624,8388607,-232476
6547,70,8388607,-232717
6378,-326,8388607,-232886
5814,-644,8388607,-233087
4528,-682,8388607,-233085
2523,-408,8388607,-233047
379,27,8388607,-233113
-1527,479,8388607,-233368
-3281,984,8388607,-233418
-4799,1528,8388607,-233569
-5584,2079,8388607,-233383
-5696,2493,8388607,-233044
-5433,2729,8388607,-232767
-4769,2939,8388607,-232920
-3481,2979,8388607,-232875
-1516,2706,8388607,-232836
630,2282,8388607,-232714
2549,1810,8388607,-232512
4312,1237,8388607,-232261
5752,599,8388607,-232129
6636,59,8388607,-232302
6878,-361,8388607,-232489
6760,-653,8388607,-232577
6192,-926,8388607,-232709
4951,-841,8388607,-232758
2976,-447,8388607,-232936
778,16,8388607,-232804
-1161,498,8388607,-232866
-2846,963,8388607,-232802
-4306,1513,8388607,-232721
-5144,2003,8388607,-232344
-5350,2358,8388607,-232044
-5109,2606,8388607,-231791
-4455,2743,8388607,-231911
-3164,2720,8388607,-231999
-1274,2485,8388607,-232086
849,2045,8388607,-232103
2761,1576,8388607,-232146
4504,1036,8388607,-231966
6019,426,8388607,-231996
6921,-108,8388607,-232284
7206,-532,8388607,-232669
7018,-826,8388607,-232659
6488,-997,8388607,-232506
5313,-1031,8388607,-232330
3363,-764,8388607,-232559
1228,-358,8388607,-232406
-661,128,8388607,-232241
-2402,678,8388607,-232373
-3855,1284,8388607,-232527
-4724,1806,8388607,-232496
-4942,2127,8388607,-232616
-4774,2387,8388607,-232532
-4141,2562,8388607,-232379
-2827,2560,8388607,-232237
-889,2324,8388607,-232271
1230,1865,8388607,-232204
3156,1376,8388607,-232472
4838,921,8388607,-232541
6319,313,8388607,-232586
7268,-206,8388607,-232561
7619,-599,8388607,-232824
7504,-876,8388607,-232703
6926,-1093,8388607,-232444
5731,-1131,8388607,-232147
3813,-914,8388607,-232057
1664,-498,8388607,-232137
-235,26,8388607,-232481
-1998,544,8388607,-232689
-3454,1127,8388607,-232579
-4434,1729,8388607,-232382
-4696,2063,8388607,-232389
-4481,2277,8388607,-231991
-3855,2477,8388607,-231800
-2639,2468,8388607,-231563
-706,2228,8388607,-231359
1432,1770,8388607,-231083
3378,1280,8388607,-231046
5099,800,8388607,-231051
6544,230,8388607,-231145
7481,-302,8388607,-231322
7804,-724,8388607,-231586
7739,-1045,8388607,-231452
7214,-1226,8388607,-231784
6054,-1232,8388607,-232068
4130,-982,8388607,-232324
1958,-606,8388607,-232396
23,-129,8388607,-232549
-1692,401,8388607,-232608
-3204,966,8388607,-232736
-4087,1521,8388607,-232770
-4335,1944,8388607,-233099
-4158,2183,8388607,-233037
-3537,2374,8388607,-232900
-2351,2380,8388607,-232919
-567,2114,8388607,-233096
1592,1676,8388607,-232893
3539,1178,8388607,-233137
5222,681,8388607,-233189
6737,92,8388607,-232962
7701,-461,8388607,-232607
8020,-832,8388607,-232682
7963,-1144,8388607,-233097
7424,-1359,8388607,-233347
